bull_threshold,bear_threshold,sharpe_ratio,max_drawdown,cagr,win_rate,total_return,sortino_ratio,total_trades
0.05,-0.05,0.6923,0.431396,0.289094,0.841,3.739264,0.6614,346
0.05,-0.1,0.7521,0.386877,0.326894,0.8484,4.657392,0.7219,343
0.05,-0.15,0.7289,0.413149,0.312937,0.8503,4.302463,0.7015,334
0.05,-0.2,0.703,0.44725,0.296577,0.8468,3.910357,0.6796,333
0.05,-0.25,0.6832,0.443406,0.284264,0.8333,3.631507,0.6635,324
0.05,-0.3,0.7353,0.41567,0.315897,0.8375,4.376149,0.719,320
0.1,-0.05,0.776,0.402757,0.337924,0.83,4.951725,0.7565,347
0.1,-0.1,0.8018,0.39029,0.354142,0.8452,5.407747,0.7869,336
0.1,-0.15,0.788,0.402719,0.345791,0.852,5.169401,0.7751,331
0.1,-0.2,0.7654,0.424524,0.331257,0.8424,4.772326,0.7561,330
0.1,-0.25,0.7261,0.462741,0.306902,0.8248,4.154898,0.7209,314
0.1,-0.3,0.7722,0.428413,0.334684,0.829,4.863972,0.7708,310
0.15,-0.05,0.8774,0.400336,0.391993,0.8209,6.586872,0.8739,335
0.15,-0.1,0.88,0.39835,0.393154,0.839,6.625724,0.8797,323
0.15,-0.15,0.8596,0.39835,0.380788,0.8429,6.220302,0.8611,312
0.15,-0.2,0.8358,0.398351,0.365546,0.8392,5.745575,0.8406,311
0.15,-0.25,0.7882,0.419364,0.336536,0.8148,4.914001,0.797,297
0.15,-0.3,0.8366,0.398353,0.365164,0.8131,5.734031,0.8501,289
0.2,-0.05,0.8672,0.363219,0.379671,0.795,6.184584,0.8731,322
0.2,-0.1,0.8763,0.355484,0.384618,0.8143,6.343912,0.8855,307
0.2,-0.15,0.8869,0.349986,0.390508,0.8215,6.537399,0.9001,297
0.2,-0.2,0.8633,0.349984,0.375552,0.8163,6.054176,0.8795,294
0.2,-0.25,0.8154,0.398783,0.346821,0.7923,5.198405,0.835,284
0.2,-0.3,0.8849,0.363551,0.386654,0.7906,6.410316,0.9125,277
0.25,-0.05,0.8653,0.364771,0.374301,0.7815,6.01496,0.8831,302
0.25,-0.1,0.8862,0.368697,0.38602,0.8062,6.389589,0.9077,289
0.25,-0.15,0.8973,0.359611,0.392076,0.8129,6.58964,0.923,278
0.25,-0.2,0.871,0.38733,0.375774,0.808,6.061154,0.8997,276
0.25,-0.25,0.8225,0.437137,0.347093,0.7811,5.20606,0.8538,265
0.25,-0.3,0.8933,0.404242,0.386908,0.7804,6.418629,0.9337,255
0.3,-0.05,0.7623,0.396101,0.309373,0.7797,4.214887,0.7829,286
0.3,-0.1,0.7834,0.399824,0.320455,0.8022,4.491252,0.8075,273
0.3,-0.15,0.7961,0.389153,0.326965,0.8113,4.659245,0.8239,265
0.3,-0.2,0.7693,0.422086,0.311684,0.8046,4.27155,0.7993,261
0.3,-0.25,0.7184,0.463355,0.284002,0.7742,3.625737,0.7499,248
0.3,-0.3,0.7912,0.433182,0.322042,0.7759,4.531824,0.8315,241
0.35,-0.05,0.8381,0.314241,0.343786,0.769,5.1133,0.8765,277
0.35,-0.1,0.8616,0.35231,0.355916,0.8023,5.459326,0.9044,263
0.35,-0.15,0.873,0.328726,0.361567,0.8063,5.62606,0.92,253
0.35,-0.2,0.8463,0.349884,0.34624,0.7992,5.18204,0.8951,254
0.35,-0.25,0.7896,0.378383,0.31551,0.7657,4.36645,0.8391,239
0.35,-0.3,0.8666,0.376863,0.355128,0.7672,5.436366,0.9275,232
